probIn scale
0.4139797 0.01956116
0.429221 0.01950766
0.4239986 0.01960473
0.4267028 0.01962834
0.4461306 0.02026057
0.419429 0.01993186
0.4196214 0.01966709
0.4319203 0.01976554
0.4385171 0.01935372
0.4030998 0.01957987
0.3824428 0.01992535
0.4110441 0.02011456
0.3958866 0.02044952
0.3789944 0.02069711
0.3644615 0.02094539
0.3455863 0.02065066
0.3382436 0.02070714
0.3670125 0.02119368
0.3518048 0.02082885
0.3342726 0.02123188
0.3524051 0.02021863
0.3719582 0.02038157
0.3935747 0.02002887
0.3707263 0.02007448
0.3617801 0.02020131
0.3509131 0.01919944
0.3532899 0.01871012
0.3411001 0.0180159
0.3710249 0.01853358
0.3617887 0.01894897
0.3611165 0.01938134
0.3620946 0.01964349
0.3565398 0.01879962
0.3362331 0.01937117
0.3411217 0.01947208
0.3589367 0.01911444
0.4030887 0.01916511
0.434238 0.01865961
0.4450102 0.01929188
0.4329286 0.01882322
0.4001664 0.0188717
0.3960691 0.0192283
0.381705 0.01867736
0.3817374 0.01894125
0.3978919 0.01836624
0.3640697 0.01925489
0.3577931 0.0190728
0.3749924 0.01862634
0.3710399 0.019286
0.3326155 0.02063917
0.3151487 0.02081297
0.2944584 0.02078483
0.2800002 0.02128819
0.313687 0.02136759
0.3127507 0.02104519
0.3106116 0.01982476
0.2922479 0.01850181
0.2778895 0.01910782
0.2761927 0.01868998
0.2792943 0.01955946
0.25954 0.01974161
0.268193 0.01953354
0.279305 0.02010377
0.2385137 0.02081004
0.223948 0.02111003
0.2337298 0.02052771
0.2236871 0.02060585
0.2262218 0.01983488
0.2752475 0.02022891
0.2451084 0.01895998
0.2715169 0.01921803
0.2938501 0.01965164
0.2684282 0.01902592
0.2838154 0.01895905
0.2969651 0.01768387
0.3193173 0.0180712
0.3552748 0.01828847
0.3961595 0.01853327
0.3723908 0.01886978
0.4052214 0.01921203
0.4275415 0.01910345
0.4360184 0.01918171
0.3932975 0.01932541
0.3947893 0.01917728
0.4117336 0.0189099
0.4310362 0.01886437
0.3684271 0.01810329
0.3682808 0.01666765
0.3597521 0.01614843
0.3631519 0.01616945
0.383666 0.01619034
0.360928 0.01615564
0.3863631 0.01617772
0.4204564 0.01559321
0.4390507 0.01580221
0.433302 0.01522652
0.4562792 0.01537245
0.4731865 0.01562474
0.4541594 0.01541758
0.4084551 0.01487686
0.3788057 0.01484943
0.3996045 0.01463229
0.3919877 0.0146221
0.3834974 0.01438234
0.3676197 0.01400461
0.3507382 0.01366378
0.348513 0.01310192
0.3251574 0.01290632
0.3153879 0.01296192
0.3330603 0.01300236
0.3292272 0.01283357
0.3640523 0.01282409
0.348661 0.01327368
0.3351856 0.01332377
0.3575906 0.01342756
0.3921643 0.01377982
0.4029377 0.01430584
0.3735238 0.01447005
0.3744569 0.01487677
0.3588399 0.01479996
0.3479442 0.01446904
0.3405077 0.0143672
0.3349465 0.01385793
0.3329517 0.01346703
0.3425007 0.01314628
0.3329735 0.01282962
0.3407411 0.01325159
0.337029 0.01280769
0.3009851 0.013065
0.2940635 0.01308281
0.3269406 0.01259915
0.3363829 0.01279729
0.3540995 0.0131088
0.3245091 0.01329534
0.294267 0.01405689
0.3167538 0.01367398
0.2964293 0.01350204
0.2967635 0.0132803
0.278845 0.01357153
0.264615 0.01344817
0.2979482 0.01326932
0.3145876 0.01351726
0.3166209 0.01416524
0.3015576 0.01393426
0.2611309 0.01376349
0.2977468 0.01358167
0.2836356 0.01403962
0.2873628 0.01384761
0.3281731 0.01460759
0.3284537 0.0140151
0.3006579 0.01423137
0.2782961 0.01400221
0.2660358 0.01450153
0.233399 0.01465378
0.2540112 0.01449218
0.2761253 0.0144372
0.2913456 0.01452353
0.290849 0.01534449
0.3183023 0.01537537
0.3147702 0.01540211
0.3490247 0.01535575
0.3221235 0.01516079
